MessageNumber,Timestamp,TotalLatencyMs,TransitMs,DeserializeMs,ProcessingMs,EventType,EventID,Partition
1,2026-01-09T16:02:16.950248+03:00,2174.000,2173.750,0.249,0.001,logout,evt_wx5rxooq_1767963734776532000,47
2,2026-01-09T16:02:20.300232+03:00,3151.000,3150.878,0.122,0.000,purchase,evt_eyoy70ed_1767963737149157000,62
3,2026-01-09T16:02:20.300486+03:00,1443.000,1442.970,0.030,0.000,form_submit,evt_r9t5qwml_1767963738857186000,12
4,2026-01-09T16:02:22.061427+03:00,193.000,192.977,0.023,0.000,signup,evt_vr1obgs1_1767963741868078000,68
5,2026-01-09T16:02:23.653069+03:00,193.000,192.930,0.069,0.001,add_to_cart,evt_j5ynniop_1767963743460616000,33
6,2026-01-09T16:02:25.529805+03:00,198.000,197.874,0.125,0.001,search,evt_icf25jvz_1767963745331524000,75
7,2026-01-09T16:02:28.055047+03:00,1006.000,1005.948,0.051,0.001,scroll,evt_m6igt4tt_1767963747049398000,31
8,2026-01-09T16:02:29.733437+03:00,178.000,177.954,0.045,0.001,form_submit,evt_iraqap4y_1767963749555480000,37
9,2026-01-09T16:02:31.081696+03:00,132.000,131.937,0.062,0.001,click,evt_3ww471lt_1767963750949873000,83
10,2026-01-09T16:02:32.500614+03:00,139.000,138.965,0.035,0.000,scroll,evt_hbh92qqr_1767963752360975000,87
11,2026-01-09T16:02:33.852603+03:00,157.000,156.924,0.062,0.014,form_submit,evt_kgkuynhh_1767963753695750000,57
12,2026-01-09T16:02:35.248505+03:00,163.000,162.906,0.093,0.001,add_to_cart,evt_0gf7seqj_1767963755085603000,21
13,2026-01-09T16:02:37.245299+03:00,138.000,137.948,0.051,0.001,click,evt_2ephfj3t_1767963757107616000,10
14,2026-01-09T16:02:39.247184+03:00,141.000,140.961,0.039,0.000,logout,evt_496bz4vw_1767963759106792000,48
15,2026-01-09T16:02:41.231055+03:00,189.000,188.936,0.064,0.000,signup,evt_ugtfnloz_1767963761042147000,50
16,2026-01-09T16:02:43.231038+03:00,204.000,203.937,0.062,0.001,logout,evt_8aq7tuo7_1767963763027722000,70
17,2026-01-09T16:02:45.114974+03:00,152.000,151.934,0.065,0.001,form_submit,evt_80qjs4fw_1767963764962771000,71
18,2026-01-09T16:02:46.799991+03:00,138.000,137.944,0.055,0.001,purchase,evt_erzv6edp_1767963766661001000,0
19,2026-01-09T16:02:48.050352+03:00,228.000,227.964,0.036,0.000,page_view,evt_dqklr4ln_1767963767822538000,78
20,2026-01-09T16:02:49.365101+03:00,182.000,181.922,0.077,0.001,page_view,evt_b05ahre4_1767963769182902000,10
